ID,Area,Feature,User Story,Expected Behaviour,Key Files,Status,QA Result,Notes
F01,Dashboard,Health Brief,"As an owner, I want today's health overview at a glance so I know if anything changed","Renders active pet's state (stable/watch/needs_attention), main reason, What PawVital Noticed signal cards + sparklines, Pattern Timeline, Next Best Action, Upcoming Reminders, Share-with-vet; real data from /api/dog-brain/signals + /api/health-log + /api/reminders","src/app/(dashboard)/dashboard/page.tsx; components/dog-brain/health-brief.tsx",REAL,VERIFIED-LIVE,Chrome-verified populated Watch state with real bruno data
F02,Dashboard,Pet Switcher Dropdown,"As an owner with multiple dogs, I want to switch active dog from the topbar","Topbar dropdown lists pets, setActivePet on click, active check, Manage dogs link","src/components/dashboard/top-bar.tsx",REAL,VERIFIED-LIVE,Chrome-verified switching Bruno/Sample Dog
F03,Dashboard,Follow-ups Panel,"As an owner, I want PawVital to follow up on noticed patterns and let me say better/same/worse","Auto-creates follow-up per watch/alert signal (idempotent), lists pending, resolves via PATCH","src/components/dog-brain/health-brief.tsx; src/app/api/dog-brain/followups/route.ts",REAL,VERIFIED-LIVE,Chrome-verified 2 follow-ups with Better/Same/Worse; POST 201 + dedup 200
F04,Symptom Checker,Triage Interview,"As an owner, I want to describe symptoms and get urgency guidance","Multi-turn chat, emergency banner, Dog Brain context strip, Why I'm asking, photo/voice/vet-record input, final report; deterministic urgency never lowered by memory","src/app/(dashboard)/symptom-checker/page.tsx; src/app/api/ai/symptom-chat/route.ts",REAL,NEEDS-TEST,Authed live conversation not yet end-to-end tested this loop
F05,Symptom Checker,Dog Brain Context (during check),"As an owner, I want the checker to remember my dog's recent history","90-day context injected on chat turns (supportive-only); urgency-guard test proves it cannot downgrade emergency","src/app/api/ai/symptom-chat/route.ts; src/lib/health-log/dog-brain-context.ts",REAL,VERIFIED-TEST,465/465 clinical tests + urgency-guard 2/2
F06,Symptom Checker,Vet Record Intake,"As an owner, I want to upload a vet PDF and have PawVital remember it","Upload PDF -> Azure extraction -> persist to vet_record_summaries (pet-scoped) -> appears in Brain context","src/components/symptom-checker/vet-record-intake-button.tsx; src/app/api/azure/documents/vet-record-intake/route.ts",REAL,NEEDS-TEST,pet_id now sent; full upload->persist not yet end-to-end tested
F07,Daily Log,Gamified Check-in,"As an owner, I want a quick fun daily log so I keep the habit","Emoji selectors (pop), vomiting stepper, weight, packs (GI/urinary/mobility/skin-ear/breathing/seizure/medication), photo upload, confetti + streak on save","src/app/(dashboard)/health-log/page.tsx; src/app/api/health-log/route.ts",REAL,VERIFIED-LIVE,Chrome-verified confetti + 14-day streak + after-save signals
F08,Daily Log,Core daily inputs,"As an owner, I want urination, breathing, mobility as core daily fields (vet warning signs)","Currently appetite/energy/water/stool/vomiting/weight core; urination/breathing/mobility exist only in adaptive packs","src/app/(dashboard)/health-log/page.tsx",GAP,TODO,User requested urination/breathing/mobility promoted to core daily inputs
F09,Health Signals,90-Day Story,"As an owner, I want a vet-ready 90-day health story","Header + count tiles, 14-day signal grid (emoji), pattern timeline, what-changed, what-to-tell-vet, copy summary, PDF","src/app/(dashboard)/analytics/page.tsx; src/components/analytics/health-board.tsx",REAL,VERIFIED-LIVE,14-day grid + header deployed; vet timeline 60/90/30 windows
F10,History,Reports Archive,"As an owner, I want to review past symptom checks","Paginated symptom_checks list with severity/recommendation + full report modal; demo rows when unconfigured","src/app/(dashboard)/history/page.tsx",REAL,NEEDS-TEST,DESIGN tokens applied; authed list not re-tested this loop
F11,My Dogs,Pet Management,"As an owner, I want to add/view/switch dogs","Comparative health, dog cards, add-pet modal, set active, delete","src/app/(dashboard)/pets/page.tsx; src/app/(dashboard)/pets/client.tsx; src/app/api/pets/route.ts",REAL,VERIFIED-LIVE,Green buttons + initial avatars verified
F12,Reminders,Care Schedule,"As an owner, I want medication/vet/flea/vaccine reminders","CRUD reminders (5 types, frequency, time, next_due), toggle, mark-complete advances due","src/app/(dashboard)/reminders/page.tsx; src/app/api/reminders/route.ts; [id]/route.ts",REAL,NEEDS-TEST,DESIGN tokens applied; CRUD not re-tested this loop
F13,Journal,Mood Tracker,"As an owner, I want to journal mood/energy and photos","Entry create (mood/energy/notes/photos up to 12), weekly AI summary, trend badge, list","src/app/(dashboard)/journal/page.tsx; src/app/api/journal/route.ts; summary/route.ts",REAL,NEEDS-TEST,DESIGN tokens applied; create/summary not re-tested
F14,Supplements,Vet-safe Support,"As an owner, I want supplement guidance organized + vet-safe","Active/Ask-vet/Follow-ups tabs, cards, rail (safety rules + vet questions + real Brain evidence), no dosing advice","src/app/(dashboard)/supplements/page.tsx; src/app/api/ai/supplements/route.ts",REAL,PARTIAL,Rail + tabs live; AI plan endpoint returned backend error during check (NVIDIA NIM)
F15,Settings,Account & Profiles,"As an owner, I want to manage account + dog profiles","Real account (email read-only), honest subscription state, pet CRUD, notification prefs form","src/app/(dashboard)/settings/page.tsx",REAL,NEEDS-TEST,Fake Sarah M. defaults removed; prefs form wiring to verify
F16,Notifications,Alert Inbox,"As an owner, I want report alerts/urgency/reminders in one place","List notifications, mark-read, mark-all-read, unread badge","src/app/(dashboard)/notifications/page.tsx; src/app/api/notifications/route.ts",REAL,NEEDS-TEST,Not re-tested this loop
F17,Community,Paw Circle,"As an owner, I want community posts","QUARANTINED: was hardcoded mock; now redirects /community -> /dashboard","src/app/(dashboard)/community/page.tsx",QUARANTINED,DONE,Intentionally removed from owner experience
F18,Auth,Login,"As a user, I want to log in","Email/password form, redirect to dashboard/target, demo skips auth","src/app/(auth)/login/page.tsx",REAL,VERIFIED-LIVE,/login 200 in prod smoke
F19,Auth,Signup + Verify,"As a user, I want to create an account","Email/password + email verification code","src/app/(auth)/signup/page.tsx; /api/auth/signup; verify-signup-code",REAL,NEEDS-TEST,Not tested this loop
F20,Auth,Password Recovery,"As a user, I want to reset my password","Forgot + reset forms with token","src/app/(auth)/forgot-password; reset-password; /api/auth/callback",REAL,NEEDS-TEST,Not tested this loop
F21,Marketing,Landing,"As a visitor, I want to learn what PawVital does","Hero/how-it-works/features/testimonials/pricing/FAQ/CTA","src/app/page.tsx; components/landing/*",REAL,VERIFIED-LIVE,/ 200 in prod smoke
F22,Sharing,Public Report,"As an owner, I want to share a vet summary by link","Token-based public report view (no auth)","src/app/shared/[token]/page.tsx; /api/shared/[token]; /api/reports/share",REAL,NEEDS-TEST,Not tested this loop
F23,API:dog-brain,Signals Detector,"System detects patterns in recent logs","GET signals: zod 400, rate limit, auth, ownership 404, detectDogBrainSignals, TABLE_MISSING","src/app/api/dog-brain/signals/route.ts; src/lib/dog-brain/signals.ts",REAL,VERIFIED-LIVE,bad->400 unauth->401 in prod smoke; was the P0 false-stable blocker
F24,API:dog-brain,Follow-ups Queue,"System schedules/manages follow-ups","GET pending, POST dedup-insert (+due_at default), PATCH resolve; TABLE_MISSING safe","src/app/api/dog-brain/followups/route.ts; [id]/route.ts",REAL,VERIFIED-LIVE,POST 201 + dedup 200 + PATCH; upsert partial-index bug fixed
F25,API:health-log,Log CRUD + Upload,"System stores daily logs + photos","GET (90 max) / POST upsert (log_date, packs, photos); upload to Supabase Storage","src/app/api/health-log/route.ts; upload/route.ts",REAL,VERIFIED-LIVE,Backdated logs persisted; upload 6/6 test
F26,API:ai,Symptom Chat,"System runs multi-turn triage","Hybrid sync/async (202 jobId), conversation state, deterministic urgency, localized","src/app/api/ai/symptom-chat/route.ts",REAL,VERIFIED-TEST,465/465 route+triage tests
F27,API:ai,Supplements Plan,"System generates supplement plan","POST pet profile -> plan via NVIDIA NIM","src/app/api/ai/supplements/route.ts",PARTIAL,NEEDS-TEST,Returned 'Unable to generate' during live check; backend AI dependency
F28,API:vet-record,Document Intake,"System extracts + persists vet PDFs","Azure DI extraction, persist vet_record_summaries when owned pet_id","src/app/api/azure/documents/vet-record-intake/route.ts",REAL,NEEDS-TEST,Persistence wiring fixed; needs live PDF test
F29,API:analytics,Vet Timeline,"System builds vet-ready timeline","Combines symptom_checks + logs (60/90/30 windows) + PDF","src/app/api/analytics/vet-timeline/route.ts; pdf/route.ts",REAL,VERIFIED-TEST,vet-timeline-server tests pass
F30,API:notifications,Notifications,"System manages notifications","GET paginated, PATCH read, mark-all-read, preferences","src/app/api/notifications/*",REAL,NEEDS-TEST,Not tested this loop
F31,Cross,90-Day Dog Brain Memory,"System remembers 90 days of owner data","Context loader fetches 90 logs/30 checks/30 journal/vet records; summary window=90, pack window=14","src/lib/health-log/dog-brain-context.ts; context.ts",REAL,VERIFIED-TEST,90-day window test proves 60-day event captured
F32,Cross,Localization,"Owner can use their language","Detect + translate to English for API, translate response back","src/hooks/useSymptomTranslator; src/lib/symptom-translator",REAL,NEEDS-TEST,Not tested this loop
F33,Cross,Image Pipeline,"Owner photos analyzed with quality gates","Blur detection, resize 1024, JPEG 85, image-gate, vision sidecar","src/lib/image-gate.ts; src/lib/hf-sidecars.ts",REAL,NEEDS-TEST,Sidecars optional; stub fallback
F34,Cross,Live Updates (Web PubSub),"Owner gets async turn results in real time","Subscribe liveSessionId, response_ready ping, poll result","src/components/symptom-checker/use-webpubsub-live-updates.ts; /api/azure/webpubsub/negotiate",REAL,NEEDS-TEST,Optional infra; not tested
F35,Internal,Stripe Payments,"Owner subscribes to a plan","Checkout + webhook routes present","src/app/api/stripe/checkout; webhook",STUB,N/A,Skeleton; not core to Dog Brain goal
F36,Internal,Admin Telemetry,"Team monitors system","stats/telemetry/sidecar-readiness/shadow-rollout/threshold-proposals","src/app/api/admin/*; src/app/api/ai/*",INTERNAL,N/A,Observability; not owner-facing
F37,Internal,Outcome Feedback,"Owner reports vet diagnosis for model loop","POST /api/outcomes","src/app/api/outcomes/route.ts",STUB,N/A,Route exists; not wired to UI
